FileNumber,BeThickness,EffectiveLaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,ShockLocation
1998,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.05E-08,0.6,1760.88
1999,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000013,0.6,2123.062
2000,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.35E-08,0.6,2193.096
2001,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000014,0.6,2259.13
2002,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.55E-08,0.6,2467.156
2003,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000016,0.6,2531.177
2004,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.65E-08,0.6,2593.198
2005,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000017,0.6,2655.218
2006,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.75E-08,0.6,2717.239
2007,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.76E-08,0.6,2717.239
2008,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000011,0.6,1834.917
2009,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.15E-08,0.6,1908.954
2010,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000012,0.6,1982.991
2011,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.25E-08,0.6,2055.028
2012,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,6.50E-09,0.6,1140.57
2013,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000007,0.6,1220.61
2014,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,7.50E-09,0.6,1302.651
2015,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,7.57E-09,0.6,1312.656
2016,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000008,0.6,1380.69
2017,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,8.50E-09,0.6,1460.73
2018,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000009,0.6,1536.768
2019,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,9.50E-09,0.6,1612.806
2020,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.00000001,0.6,1688.844
2021,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000023,0.6,3319.44
2022,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.35E-08,0.6,3369.457
2023,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000024,0.6,3421.474
2024,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000018,0.6,2771.257
2025,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.85E-08,0.6,2829.276
2026,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000019,0.6,2897.299
2027,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,1.95E-08,0.6,2955.318
2028,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.00000002,0.6,3001.334
2029,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.05E-08,0.6,3055.352
2030,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000021,0.6,3111.371
2031,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.15E-08,0.6,3163.388
2032,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000022,0.6,3217.406
2033,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.25E-08,0.6,3271.424
2034,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000025,0.6,3517.506
2035,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.55E-08,0.6,3563.521
2036,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000026,0.6,3627.542
2037,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.45E-08,0.6,3469.49
2038,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.67E-08,0.6,3695.565
2039,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,0.000000027,0.6,3719.573
2040,70,21,4023.442219,1.449012005,1.9000218,584.71211,460.5244591,1139.846708,2.65E-08,0.6,3675.559
2041,71,21,2371.857272,1.435127675,1.005961482,596.968834,463.4765273,586.1269078,0.00000002,0.6,2507.254
2042,71,21,2371.857272,1.435127675,1.005961482,596.968834,463.4765273,586.1269078,0.000000017,0.6,2171.085
2043,71,21,2371.857272,1.435127675,1.005961482,596.968834,463.4765273,586.1269078,1.75E-08,0.6,2223.112
